index,key,value
2013 1,total,24287
2013 2,total,24215
2013 3,total,24736
2013 4,total,25322
2013 5,total,25610
2013 6,total,25686
2013 7,total,25681
2013 8,total,25513
2013 9,total,25701
2013 10,total,25798
2013 11,total,25795
2013 12,total,25248
2014 1,total,25050
2014 2,total,25116
2014 3,total,25463
2014 4,total,25985
2014 5,total,26112
2014 6,total,26178
2014 7,total,26280
2014 8,total,26183
2014 9,total,26213
2014 10,total,26247
2014 11,total,26260
2014 12,total,25679
2015 1,total,25392
2015 2,total,25471
2015 3,total,25766
2015 4,total,26153
2015 5,total,26431
2015 6,total,26440
2015 7,total,26538
2015 8,total,26369
2015 9,total,26487
2015 10,total,26519
2015 11,total,26469
2015 12,total,26098
2016 1,total,25646
2016 2,total,25615
2016 3,total,25980
2016 4,total,26325
2016 5,total,26613
2016 6,total,26718
2016 7,total,26765
2016 8,total,26696
2016 9,total,26697
2016 10,total,26746
2016 11,total,26762
2016 12,total,26347
2017 1,total,25878
2017 2,total,25979
2017 3,total,26443
2017 4,total,26744
2017 5,total,26992
2017 6,total,27020
2017 7,total,27078
2017 8,total,26904
2017 9,total,27011
2017 10,total,27026
2017 11,total,27019
2017 12,total,26604
2018 1,total,26213
2018 2,total,26083
2018 3,total,26555
2018 4,total,26868
2018 5,total,27064
2018 6,total,27126
2018 7,total,27083
2018 8,total,26907
2018 9,total,27055
2018 10,total,27090
2018 11,total,27184
2018 12,total,26638
2019 1,total,26232
2019 2,total,26346
2019 3,total,26805
2019 4,total,27038
2019 5,total,27322
2019 6,total,27408
2019 7,total,27383
2019 8,total,27358
2019 9,total,27404
2019 10,total,27509
2019 11,total,27515
2019 12,total,27154
2020 1,total,26800
2020 2,total,26838
2020 3,total,26609
2020 4,total,26562
2020 5,total,26930
2020 6,total,27055
2013 1,education,1710
2013 2,education,1681
2013 3,education,1716
2013 4,education,1745
2013 5,education,1774
2013 6,education,1786
2013 7,education,1813
2013 8,education,1811
2013 9,education,1794
2013 10,education,1790
2013 11,education,1793
2013 12,education,1779
2014 1,education,1748
2014 2,education,1786
2014 3,education,1814
2014 4,education,1837
2014 5,education,1828
2014 6,education,1839
2014 7,education,1841
2014 8,education,1850
2014 9,education,1859
2014 10,education,1852
2014 11,education,1861
2014 12,education,1842
2015 1,education,1824
2015 2,education,1808
2015 3,education,1834
2015 4,education,1815
2015 5,education,1825
2015 6,education,1824
2015 7,education,1817
2015 8,education,1832
2015 9,education,1852
2015 10,education,1888
2015 11,education,1849
2015 12,education,1860
2016 1,education,1827
2016 2,education,1814
2016 3,education,1818
2016 4,education,1855
2016 5,education,1869
2016 6,education,1870
2016 7,education,1851
2016 8,education,1863
2016 9,education,1890
2016 10,education,1881
2016 11,education,1904
2016 12,education,1908
2017 1,education,1892
2017 2,education,1876
2017 3,education,1913
2017 4,education,1940
2017 5,education,1944
2017 6,education,1951
2017 7,education,1935
2017 8,education,1896
2017 9,education,1869
2017 10,education,1885
2017 11,education,1902
2017 12,education,1883
2018 1,education,1826
2018 2,education,1822
2018 3,education,1836
2018 4,education,1834
2018 5,education,1847
2018 6,education,1844
2018 7,education,1857
2018 8,education,1860
2018 9,education,1858
2018 10,education,1870
2018 11,education,1858
2018 12,education,1853
2019 1,education,1837
2019 2,education,1837
2019 3,education,1870
2019 4,education,1889
2019 5,education,1884
2019 6,education,1918
2019 7,education,1920
2019 8,education,1883
2019 9,education,1919
2019 10,education,1875
2019 11,education,1892
2019 12,education,1876
2020 1,education,1844
2020 2,education,1828
2020 3,education,1770
2020 4,education,1759
2020 5,education,1814
2020 6,education,1829
